date,home_team,away_team,team,minute
1957-06-30,Uruguay,Colombia,Uruguay,89.0
1957-11-03,Romania,Greece,Romania,51.0
1958-06-08,England,Russia,England,85.0
1958-06-08,France,Paraguay,Paraguay,44.0
1958-06-08,Sweden,Mexico,Sweden,57.0
1958-06-11,Argentina,Northern Ireland,Argentina,37.0
1958-06-11,Czechoslovakia,Germany,Czechoslovakia,24.0
1958-06-15,Argentina,Czechoslovakia,Argentina,65.0
1958-06-28,France,Germany,France,27.0
1959-03-11,Chile,Paraguay,Chile,34.0
1959-03-18,Argentina,Peru,Argentina,18.0
1959-04-05,Republic of Ireland,Czechoslovakia,Republic of Ireland,42.0
1959-04-26,Turkey,Romania,Turkey,54.0
1959-05-10,Czechoslovakia,Republic of Ireland,Czechoslovakia,4.0
1959-09-23,Austria,Norway,Austria,25.0
1959-12-06,Ecuador,Uruguay,Uruguay,1.0
1959-12-09,Argentina,Paraguay,Argentina,89.0
1959-12-16,Argentina,Uruguay,Uruguay,9.0
1959-12-16,Argentina,Uruguay,Uruguay,55.0
1960-03-27,Austria,France,France,83.0
1960-09-10,Nigeria,Ghana,Nigeria,75.0
1960-09-25,Finland,France,Finland,36.0
1960-10-19,Israel,Vietnam Republic,Vietnam Republic,68.0
1960-10-30,Morocco,Tunisia,Morocco,60.0
1960-11-03,United States,Mexico,United States,31.0
1960-11-27,Israel,Cyprus,Cyprus,89.0
1960-12-04,Ecuador,Argentina,Argentina,5.0
1960-12-17,Argentina,Ecuador,Argentina,55.0
1961-05-07,Peru,Colombia,Peru,3.0
1961-05-14,Czechoslovakia,Scotland,Czechoslovakia,15.0
1961-06-04,Yugoslavia,Poland,Yugoslavia,42.0
1961-06-16,Finland,Bulgaria,Bulgaria,75.0
1961-10-15,Israel,Italy,Italy,53.0
1962-01-14,Ethiopia,Tunisia,Ethiopia,32.0
1962-05-30,Colombia,Uruguay,Colombia,19.0
1962-05-31,England,Hungary,England,60.0
1962-06-02,Argentina,England,England,17.0
1962-06-02,Uruguay,Yugoslavia,Yugoslavia,25.0
