date,home_team,away_team,team,minute
1983-03-30,Albania,Germany,Albania,82.0
1983-04-17,Poland,Finland,Poland,2.0
1983-04-23,Turkey,Germany,Germany,30.0
1983-05-15,Romania,Czechoslovakia,Czechoslovakia,40.0
1983-06-01,Denmark,Hungary,Denmark,85.0
1983-08-28,Colombia,Peru,Peru,25.0
1983-08-31,Colombia,Bolivia,Colombia,60.0
1983-09-01,Uruguay,Chile,Uruguay,63.0
1983-09-04,Uruguay,Venezuela,Uruguay,57.0
1983-09-07,Argentina,Ecuador,Argentina,90.0
1983-09-07,Argentina,Ecuador,Ecuador,90.0
1983-09-21,England,Denmark,Denmark,36.0
1983-10-12,Republic of Ireland,Netherlands,Republic of Ireland,35.0
1983-10-26,Germany,Turkey,Germany,74.0
1983-11-13,Portugal,Russia,Portugal,44.0
1983-11-16,Czechoslovakia,Italy,Czechoslovakia,76.0
1983-11-16,Republic of Ireland,Malta,Republic of Ireland,28.0
1983-11-16,Turkey,Austria,Turkey,76.0
1983-12-22,Italy,Cyprus,Cyprus,68.0
1983-12-22,Italy,Cyprus,Italy,86.0
1984-03-08,Malawi,Nigeria,Malawi,7.0
1984-03-14,Egypt,Nigeria,Nigeria,43.0
1984-03-17,Algeria,Egypt,Egypt,76.0
1984-05-23,Sweden,Malta,Sweden,70.0
1984-06-14,Romania,Spain,Spain,22.0
1984-06-16,Denmark,Yugoslavia,Denmark,69.0
1984-06-16,France,Belgium,France,74.0
1984-06-19,Denmark,Belgium,Denmark,41.0
1984-06-19,France,Yugoslavia,Yugoslavia,84.0
1984-07-15,Morocco,Sierra Leone,Morocco,51.0
1984-09-12,Norway,Switzerland,Switzerland,3.0
1984-10-10,Norway,Russia,Norway,54.0
1984-10-31,Czechoslovakia,Malta,Czechoslovakia,77.0
1984-10-31,Turkey,Finland,Turkey,78.0
1984-11-14,Northern Ireland,Finland,Northern Ireland,51.0
1984-11-14,Portugal,Sweden,Sweden,29.0
1984-11-21,France,Bulgaria,France,62.0
1984-12-01,Iran,United Arab Emirates,Iran,85.0
1984-12-10,Singapore,Iran,Iran,55.0
1985-04-07,Morocco,Malawi,Morocco,75.0
1985-04-17,Switzerland,Russia,Switzerland,43.0
1985-05-18,German DR,Luxembourg,German DR,45.0
1985-06-05,Sweden,Czechoslovakia,Sweden,77.0
1985-07-26,Libya,Ghana,Libya,70.0
1985-08-11,Costa Rica,Honduras,Honduras,8.0
1985-09-08,Honduras,Costa Rica,Honduras,56.0
1985-09-10,Wales,Scotland,Scotland,80.0
1985-10-06,Morocco,Libya,Morocco,44.0
1985-10-12,New Zealand,Taiwan,New Zealand,65.0
1985-10-23,Australia,Taiwan,Australia,89.0
1985-10-27,Australia,Taiwan,Australia,65.0
1985-10-30,France,Luxembourg,France,47.0
1985-11-16,German DR,Bulgaria,German DR,4.0
1986-03-08,Cameroon,Zambia,Zambia,77.0
1986-03-08,Cameroon,Zambia,Cameroon,82.0
1986-03-20,Ivory Coast,Morocco,Ivory Coast,68.0
1986-06-02,Russia,Hungary,Russia,24.0
1986-06-05,Italy,Argentina,Italy,6.0
1986-06-08,Denmark,Uruguay,Uruguay,45.0
1986-06-08,Iraq,Belgium,Belgium,21.0
1986-06-13,Denmark,Germany,Denmark,43.0
1986-06-15,Russia,Belgium,Russia,111.0
1986-06-16,Brazil,Poland,Brazil,30.0
1986-06-16,Brazil,Poland,Brazil,83.0
1986-06-18,Denmark,Spain,Denmark,33.0
1986-06-18,Denmark,Spain,Spain,68.0
1986-06-18,Denmark,Spain,Spain,88.0
1986-06-28,France,Belgium,France,111.0
1986-09-10,Belgium,Republic of Ireland,Republic of Ireland,90.0
1986-10-29,Russia,Norway,Russia,28.0
1986-11-12,Scotland,Luxembourg,Scotland,24.0
1986-11-15,Italy,Switzerland,Italy,85.0
1987-03-25,Romania,Albania,Romania,44.0
1987-04-01,Bulgaria,Republic of Ireland,Bulgaria,82.0
1987-04-15,Switzerland,Malta,Switzerland,38.0
1987-05-17,Hungary,Poland,Hungary,62.0
1987-06-30,Venezuela,Chile,Venezuela,24.0
1987-07-02,Argentina,Ecuador,Argentina,67.0
1987-07-08,Chile,Colombia,Colombia,103.0
1987-11-18,Spain,Albania,Spain,36.0
1987-12-16,Turkey,Yugoslavia,Yugoslavia,54.0
1988-03-13,Morocco,DR Congo,Morocco,43.0
1988-03-27,Cameroon,Nigeria,Cameroon,55.0
1988-06-03,Libya,Burkina Faso,Libya,22.0
1988-06-21,Germany,Netherlands,Germany,55.0
1988-06-21,Germany,Netherlands,Netherlands,74.0
1988-09-21,Luxembourg,Switzerland,Switzerland,21.0
1988-09-28,France,Norway,France,84.0
1988-10-19,Wales,Finland,Wales,16.0
1988-10-22,Cyprus,France,Cyprus,78.0
1988-11-02,Romania,Greece,Romania,40.0
1988-12-03,Australia,Fiji,Australia,69.0
1988-12-03,United Arab Emirates,Korea Republic,Korea Republic,8.0
1988-12-09,Qatar,Korea Republic,Qatar,47.0
1988-12-09,Qatar,Korea Republic,Qatar,80.0
1988-12-09,Saudi Arabia,Bahrain,Bahrain,44.0
1988-12-10,Kuwait,China,Kuwait,60.0
1988-12-11,Bahrain,Syria,Syria,72.0
1988-12-11,Yugoslavia,Cyprus,Yugoslavia,44.0
1988-12-21,Spain,Northern Ireland,Spain,60.0
1989-01-22,Malta,Spain,Spain,15.0
1989-03-19,Guatemala,Costa Rica,Guatemala,39.0
1989-03-19,Israel,Australia,Israel,67.0
1989-03-23,Spain,Malta,Spain,68.0
1989-04-12,Hungary,Malta,Hungary,49.0
1989-05-17,Denmark,Greece,Denmark,89.0
1989-05-23,Malaysia,Nepal,Malaysia,90.0
1989-05-25,Korea Republic,Nepal,Korea Republic,16.0
1989-05-27,Hong Kong,Korea DPR,Hong Kong,60.0
1989-06-25,Tunisia,DR Congo,Tunisia,74.0
1989-07-01,Brazil,Venezuela,Brazil,36.0
1989-07-03,Venezuela,Colombia,Colombia,36.0
1989-07-08,Bolivia,Chile,Chile,68.0
1989-07-22,Iran,China,China,64.0
1989-08-13,Ivory Coast,Zimbabwe,Ivory Coast,71.0
1989-08-20,Bolivia,Peru,Bolivia,45.0
1989-08-27,Paraguay,Colombia,Paraguay,90.0
1989-09-05,Norway,France,France,40.0
1989-09-20,Switzerland,Portugal,Switzerland,28.0
1989-09-20,Switzerland,Portugal,Portugal,74.0
1989-10-04,Germany,Finland,Germany,84.0
1989-10-06,Czechoslovakia,Portugal,Czechoslovakia,11.0
1989-10-08,Sweden,Albania,Albania,8.0
1989-10-11,Yugoslavia,Norway,Yugoslavia,44.0
1989-10-12,China,Saudi Arabia,Saudi Arabia,24.0
1989-10-12,China,Saudi Arabia,China,63.0
1989-10-25,Poland,Sweden,Sweden,34.0
1989-10-28,Cyprus,Yugoslavia,Cyprus,38.0
1989-11-15,Austria,German DR,Austria,23.0
1989-11-15,Malta,Republic of Ireland,Republic of Ireland,68.0
1989-11-15,Netherlands,Finland,Netherlands,69.0
1990-06-09,Russia,Romania,Romania,55.0
1990-06-10,United States,Czechoslovakia,Czechoslovakia,40.0
1990-06-12,Netherlands,Egypt,Egypt,83.0
1990-06-15,Austria,Czechoslovakia,Czechoslovakia,31.0
1990-06-16,Sweden,Scotland,Scotland,81.0
1990-06-21,Belgium,Spain,Spain,26.0
1990-06-24,Germany,Netherlands,Netherlands,89.0
1990-07-01,Cameroon,England,Cameroon,61.0
1990-07-01,Cameroon,England,England,83.0
1990-07-01,Cameroon,England,England,105.0
1990-07-01,Germany,Czechoslovakia,Germany,25.0
1990-07-07,Italy,England,Italy,86.0
1990-07-08,Germany,Argentina,Germany,85.0
1990-10-17,England,Poland,England,39.0
1990-10-17,Hungary,Italy,Italy,54.0
1990-10-17,Northern Ireland,Denmark,Denmark,11.0
1990-10-17,Scotland,Switzerland,Scotland,34.0
1990-10-17,Scotland,Switzerland,Switzerland,65.0
1990-10-31,Hungary,Cyprus,Hungary,20.0
1990-10-31,Hungary,Cyprus,Hungary,67.0
1990-12-19,Malta,Netherlands,Netherlands,80.0
1991-02-20,Portugal,Malta,Portugal,41.0
1991-03-13,Netherlands,Malta,Netherlands,31.0
1991-03-27,San Marino,Romania,Romania,18.0
1991-03-27,San Marino,Romania,San Marino,30.0
1991-03-30,France,Albania,France,33.0
1991-05-01,Italy,Hungary,Hungary,65.0
1991-05-01,Norway,Cyprus,Norway,49.0
1991-05-01,San Marino,Scotland,Scotland,63.0
1991-06-28,Canada,Honduras,Honduras,28.0
1991-06-28,Mexico,Jamaica,Mexico,54.0
1991-06-30,Canada,Mexico,Mexico,89.0
1991-07-03,United States,Costa Rica,United States,49.0
1991-07-08,Argentina,Venezuela,Argentina,50.0
1991-07-08,Chile,Peru,Chile,51.0
1991-07-09,Bolivia,Brazil,Brazil,5.0
1991-07-09,Bolivia,Brazil,Bolivia,89.0
1991-07-09,Ecuador,Uruguay,Uruguay,49.0
1991-07-10,Paraguay,Venezuela,Paraguay,87.0
1991-07-13,Bolivia,Ecuador,Ecuador,80.0
1991-07-14,Argentina,Peru,Peru,35.0
1991-07-19,Brazil,Colombia,Brazil,76.0
1991-09-11,Faroe Islands,Northern Ireland,Northern Ireland,68.0
1991-09-25,Faroe Islands,Denmark,Denmark,2.0
1991-09-25,Russia,Hungary,Russia,37.0
1991-10-16,Bulgaria,San Marino,Bulgaria,31.0
1991-10-16,Germany,Wales,Wales,84.0
1991-10-16,Romania,Scotland,Romania,75.0
1991-11-13,Spain,Czechoslovakia,Spain,78.0
1991-11-13,Turkey,Republic of Ireland,Turkey,13.0
1991-11-13,Wales,Luxembourg,Wales,82.0
1991-11-15,Lithuania,Estonia,Lithuania,54.0
1991-12-18,Germany,Luxembourg,Germany,15.0
1992-01-14,Nigeria,Kenya,Kenya,89.0
1992-04-22,Spain,Albania,Spain,66.0
1992-05-06,Romania,Faroe Islands,Romania,28.0
1992-06-12,Russia,Germany,Russia,64.0
1992-06-18,Scotland,Russia,Scotland,84.0
1992-06-21,Sweden,Germany,Sweden,64.0
1992-06-27,Vanuatu,New Zealand,New Zealand,82.0
1992-08-16,Panama,Costa Rica,Panama,29.0
1992-08-23,Costa Rica,Panama,Costa Rica,17.0
1992-08-23,Costa Rica,Panama,Panama,89.0
1992-09-09,Bulgaria,France,Bulgaria,21.0
1992-09-09,Finland,Sweden,Sweden,77.0
1992-09-09,Republic of Ireland,Latvia,Republic of Ireland,82.0
1992-09-23,Czechoslovakia,Faroe Islands,Czechoslovakia,90.0
1992-09-23,Norway,Netherlands,Norway,9.0
1992-10-09,Algeria,Burundi,Burundi,89.0
1992-10-09,Tahiti,Solomon Islands,Tahiti,8.0
1992-10-10,Ivory Coast,Botswana,Ivory Coast,17.0
1992-10-11,Tunisia,Benin,Tunisia,16.0
1992-10-15,Saudi Arabia,United States,Saudi Arabia,48.0
1992-10-25,Togo,Egypt,Egypt,89.0
1992-11-01,Japan,Korea DPR,Korea DPR,29.0
1992-11-08,Jamaica,Bermuda,Jamaica,75.0
1992-11-14,Romania,Czechoslovakia,Czechoslovakia,82.0
1992-11-29,Cyprus,Romania,Cyprus,39.0
1992-12-06,Mexico,Saint Vincent and the Grenadines,Mexico,44.0
1993-01-10,DR Congo,Cameroon,DR Congo,85.0
1993-01-20,Zambia,Namibia,Zambia,2.0
1993-01-31,Morocco,Benin,Morocco,60.0
1993-02-17,Greece,Luxembourg,Greece,30.0
1993-02-24,Netherlands,Turkey,Turkey,36.0
1993-03-24,Italy,Malta,Malta,68.0
1993-03-24,Netherlands,San Marino,Netherlands,68.0
1993-03-31,Hungary,Greece,Greece,70.0
1993-04-04,El Salvador,Mexico,El Salvador,41.0
1993-04-04,Honduras,Canada,Canada,34.0
1993-04-04,Honduras,Canada,Honduras,41.0
1993-04-04,Honduras,Canada,Honduras,89.0
1993-04-11,Mexico,Honduras,Mexico,76.0
1993-04-13,Vietnam,Singapore,Singapore,35.0
1993-04-16,Qatar,Singapore,Qatar,90.0
1993-04-18,Canada,Honduras,Canada,66.0
1993-04-24,Indonesia,Qatar,Indonesia,28.0
1993-04-26,Vietnam,Qatar,Qatar,52.0
1993-04-28,Bulgaria,Finland,Bulgaria,15.0
1993-04-28,England,Netherlands,Netherlands,85.0
1993-04-28,France,Sweden,France,42.0
1993-04-28,Norway,Turkey,Norway,14.0
1993-04-30,United Arab Emirates,Thailand,United Arab Emirates,10.0
1993-05-01,Macau,Saudi Arabia,Saudi Arabia,79.0
1993-05-03,Macau,Kuwait,Kuwait,84.0
1993-05-03,Malaysia,Saudi Arabia,Saudi Arabia,88.0
1993-05-03,Sri Lanka,Thailand,Thailand,71.0
1993-05-07,Bangladesh,Sri Lanka,Bangladesh,73.0
1993-05-09,El Salvador,Honduras,Honduras,77.0
1993-05-09,Lebanon,Hong Kong,Lebanon,80.0
1993-05-12,Bulgaria,Israel,Bulgaria,35.0
1993-05-13,India,Korea Republic,Korea Republic,19.0
1993-05-14,Saudi Arabia,Macau,Saudi Arabia,22.0
1993-05-15,Bahrain,India,India,90.0
1993-05-22,Belgium,Faroe Islands,Belgium,50.0
1993-05-23,Russia,Greece,Russia,70.0
1993-06-02,Scotland,Estonia,Scotland,72.0
1993-06-20,Colombia,Bolivia,Colombia,18.0
1993-06-24,Chile,Peru,Peru,14.0
1993-06-27,Peru,Mexico,Mexico,22.0
1993-06-27,Peru,Mexico,Peru,55.0
1993-07-02,Syria,Taiwan,Syria,19.0
1993-07-04,Argentina,Mexico,Mexico,67.0
1993-07-04,Syria,Oman,Syria,62.0
1993-07-04,Taiwan,Iran,Iran,15.0
1993-07-07,Syria,Iran,Syria,89.0
1993-07-10,Honduras,Panama,Honduras,69.0
1993-07-14,Honduras,Jamaica,Honduras,18.0
1993-07-17,Jamaica,Panama,Panama,50.0
1993-07-18,Costa Rica,Martinique,Martinique,59.0
1993-08-01,Venezuela,Brazil,Brazil,34.0
1993-08-15,Paraguay,Peru,Paraguay,28.0
1993-08-15,Paraguay,Peru,Peru,45.0
1993-08-25,Austria,Finland,Austria,89.0
1993-09-08,Bulgaria,Sweden,Bulgaria,21.0
1993-09-08,Finland,France,France,55.0
1993-09-08,Scotland,Switzerland,Switzerland,70.0
1993-09-12,Uruguay,Bolivia,Uruguay,3.0
1993-09-22,Estonia,Italy,Italy,20.0
1993-09-22,San Marino,Netherlands,Netherlands,79.0
1993-10-13,Bulgaria,Austria,Bulgaria,33.0
1993-10-13,Romania,Belgium,Romania,67.0
1993-10-13,Romania,Belgium,Belgium,88.0
1993-10-19,Iraq,Korea Republic,Korea Republic,67.0
1993-11-10,Portugal,Estonia,Portugal,37.0
1994-03-29,Senegal,Guinea,Senegal,46.0
1994-03-30,Tunisia,DR Congo,Tunisia,43.0
1994-04-02,DR Congo,Nigeria,Nigeria,71.0
1994-06-20,Brazil,Russia,Brazil,52.0
1994-06-21,Argentina,Greece,Argentina,90.0
1994-06-24,Sweden,Russia,Russia,4.0
1994-06-24,Sweden,Russia,Sweden,39.0
1994-06-25,Saudi Arabia,Morocco,Saudi Arabia,7.0
1994-06-26,Bulgaria,Greece,Bulgaria,5.0
1994-06-26,Bulgaria,Greece,Bulgaria,55.0
1994-06-27,Bolivia,Spain,Spain,19.0
1994-06-28,Russia,Cameroon,Russia,44.0
1994-07-02,Spain,Switzerland,Spain,86.0
1994-07-03,Romania,Argentina,Argentina,16.0
1994-07-05,Mexico,Bulgaria,Mexico,18.0
1994-07-05,Nigeria,Italy,Italy,102.0
1994-07-10,Bulgaria,Germany,Germany,47.0
1994-07-13,Bulgaria,Italy,Bulgaria,44.0
1994-07-29,Lithuania,Estonia,Lithuania,11.0
1994-07-31,Lithuania,Latvia,Lithuania,67.0
1994-09-06,Czech Republic,Malta,Czech Republic,5.0
1994-09-07,Latvia,Republic of Ireland,Republic of Ireland,75.0
1994-09-07,Northern Ireland,Portugal,Northern Ireland,58.0
1994-10-12,Austria,Northern Ireland,Austria,24.0
1994-10-12,Israel,Slovakia,Israel,32.0
1994-10-12,Norway,Netherlands,Norway,52.0
1994-11-16,Belarus,Norway,Norway,83.0
1994-12-18,Greece,Scotland,Greece,19.0
1995-01-08,Japan,Argentina,Argentina,86.0
1995-01-13,Denmark,Argentina,Denmark,8.0
1995-03-29,Austria,Latvia,Austria,71.0
1995-03-29,Czech Republic,Belarus,Belarus,45.0
1995-03-29,Netherlands,Malta,Netherlands,77.0
1995-03-29,Romania,Poland,Poland,42.0
1995-03-29,Slovakia,Azerbaijan,Slovakia,45.0
1995-03-29,Slovakia,Azerbaijan,Azerbaijan,80.0
1995-03-29,Turkey,Sweden,Sweden,23.0
1995-04-26,Austria,Liechtenstein,Austria,54.0
1995-04-26,Azerbaijan,Romania,Romania,2.0
1995-04-26,Latvia,Northern Ireland,Northern Ireland,70.0
1995-05-21,Latvia,Lithuania,Latvia,34.0
1995-06-01,Sweden,Iceland,Sweden,16.0
1995-06-07,Bulgaria,Germany,Bulgaria,45.0
1995-06-07,Bulgaria,Germany,Bulgaria,66.0
1995-06-07,San Marino,Russia,Russia,20.0
1995-06-07,Spain,Armenia,Spain,64.0
1995-06-11,Finland,Greece,Finland,45.0
1995-07-05,Uruguay,Venezuela,Uruguay,75.0
1995-07-09,Mexico,Venezuela,Mexico,41.0
1995-07-09,Mexico,Venezuela,Mexico,57.0
1995-07-10,Brazil,Peru,Brazil,77.0
1995-07-22,Colombia,United States,United States,52.0
1995-08-15,Liechtenstein,Portugal,Portugal,70.0
1995-09-03,Croatia,Estonia,Croatia,19.0
1995-09-06,Czech Republic,Norway,Czech Republic,6.0
1995-09-06,Faroe Islands,Russia,Russia,9.0
1995-10-08,Croatia,Italy,Croatia,48.0
1995-10-11,Denmark,Spain,Spain,18.0
1995-10-11,Georgia,Bulgaria,Georgia,47.0
1995-10-11,Republic of Ireland,Latvia,Republic of Ireland,61.0
1995-10-11,Slovakia,Poland,Slovakia,31.0
1995-11-15,Albania,Wales,Albania,5.0
1995-11-15,Australia,New Zealand,Australia,45.0
1995-11-15,Germany,Bulgaria,Germany,75.0
1995-11-15,Moldova,Georgia,Moldova,5.0
1995-11-15,Northern Ireland,Austria,Northern Ireland,32.0
1995-11-15,Slovenia,Croatia,Croatia,40.0
1996-01-10,Trinidad and Tobago,El Salvador,El Salvador,72.0
1996-01-16,Gabon,Liberia,Liberia,5.0
1996-01-18,Cameroon,Egypt,Cameroon,36.0
1996-01-19,DR Congo,Gabon,Gabon,21.0
1996-01-24,Angola,Cameroon,Angola,38.0
1996-01-25,Liberia,DR Congo,DR Congo,5.0
1996-01-31,Zambia,Tunisia,Tunisia,85.0
1996-03-31,Aruba,Dominican Republic,Dominican Republic,5.0
1996-03-31,Aruba,Dominican Republic,Aruba,38.0
1996-04-24,North Macedonia,Liechtenstein,North Macedonia,49.0
1996-05-04,Puerto Rico,Saint Vincent and the Grenadines,Puerto Rico,70.0
1996-06-01,Gambia,Liberia,Gambia,18.0
1996-06-01,Gambia,Liberia,Liberia,35.0
1996-06-01,Guinea-Bissau,Guinea,Guinea-Bissau,60.0
1996-06-01,Sweden,Belarus,Sweden,62.0
1996-06-01,Uganda,Angola,Angola,35.0
1996-06-01,Uganda,Angola,Angola,60.0
1996-06-02,Kenya,Algeria,Kenya,63.0
1996-06-02,Rwanda,Tunisia,Tunisia,43.0
1996-06-02,Serbia,Malta,Serbia,70.0
1996-06-08,England,Switzerland,Switzerland,83.0
1996-06-09,Spain,Bulgaria,Bulgaria,65.0
1996-06-16,Croatia,Denmark,Croatia,54.0
1996-06-16,Tunisia,Rwanda,Tunisia,46.0
1996-06-18,England,Netherlands,England,23.0
1996-06-23,Germany,Croatia,Germany,20.0
1996-06-30,Czech Republic,Germany,Czech Republic,59.0
1996-06-30,Haiti,Cuba,Cuba,79.0
1996-07-07,Bolivia,Venezuela,Bolivia,41.0
1996-07-07,Bolivia,Venezuela,Venezuela,65.0
1996-07-08,Latvia,Lithuania,Lithuania,5.0
1996-07-08,Latvia,Lithuania,Lithuania,68.0
1996-07-09,Estonia,Lithuania,Lithuania,18.0
1996-09-01,Colombia,Chile,Chile,56.0
1996-09-01,Israel,Bulgaria,Bulgaria,3.0
1996-09-01,Israel,Bulgaria,Israel,62.0
1996-09-18,Czech Republic,Malta,Czech Republic,63.0
1996-09-21,Honduras,Mexico,Honduras,82.0
1996-09-23,Saint Vincent and the Grenadines,Jamaica,Saint Vincent and the Grenadines,82.0
1996-10-05,Lithuania,Iceland,Lithuania,22.0
1996-10-06,Faroe Islands,Serbia,Serbia,90.0
1996-10-06,Finland,Switzerland,Finland,41.0
1996-10-08,Luxembourg,Bulgaria,Bulgaria,14.0
1996-10-09,Norway,Hungary,Norway,90.0
1996-10-23,Slovakia,Faroe Islands,Slovakia,57.0
1996-11-10,Azerbaijan,Hungary,Hungary,67.0
1996-11-10,Bolivia,Colombia,Colombia,40.0
1996-11-10,Cyprus,Israel,Cyprus,15.0
1996-11-10,Poland,Moldova,Poland,77.0
1996-11-10,Poland,Moldova,Moldova,83.0
1996-11-10,Slovenia,Bosnia and Herzegovina,Slovenia,41.0
1996-11-10,Togo,Cameroon,Togo,83.0
1996-11-17,Honduras,Saint Vincent and the Grenadines,Honduras,77.0
1996-12-04,Indonesia,Kuwait,Kuwait,84.0
1996-12-05,Iran,Iraq,Iran,90.0
1996-12-05,Saudi Arabia,Thailand,Saudi Arabia,10.0
1996-12-05,Saudi Arabia,Thailand,Saudi Arabia,29.0
1996-12-12,Uzbekistan,Syria,Uzbekistan,53.0
1996-12-14,Belgium,Netherlands,Netherlands,89.0
1996-12-14,North Macedonia,Romania,Romania,90.0
1996-12-15,Argentina,Chile,Argentina,76.0
1996-12-16,Korea Republic,Iran,Iran,89.0
1997-01-12,Zimbabwe,Togo,Zimbabwe,21.0
1997-03-02,Mexico,Canada,Mexico,61.0
1997-03-16,United States,Canada,United States,7.0
1997-03-31,Luxembourg,Israel,Israel,56.0
1997-04-02,Albania,Germany,Albania,90.0
1997-04-02,Azerbaijan,Finland,Azerbaijan,83.0
1997-04-02,Bolivia,Argentina,Argentina,41.0
1997-04-02,North Macedonia,Republic of Ireland,North Macedonia,44.0
1997-04-02,Paraguay,Colombia,Colombia,80.0
1997-04-02,Peru,Ecuador,Ecuador,78.0
1997-04-02,Ukraine,Northern Ireland,Northern Ireland,14.0
1997-04-06,Kenya,Burkina Faso,Burkina Faso,42.0
1997-04-13,Mexico,Jamaica,Mexico,10.0
1997-04-26,Namibia,Egypt,Egypt,79.0
1997-04-26,Namibia,Egypt,Namibia,87.0
1997-04-27,Ghana,Gabon,Ghana,64.0
1997-04-30,Paraguay,Uruguay,Paraguay,73.0
1997-04-30,Serbia,Spain,Spain,19.0
1997-04-30,Serbia,Spain,Serbia,87.0
1997-05-24,Singapore,Lebanon,Singapore,58.0
1997-06-07,Fiji,New Zealand,New Zealand,80.0
1997-06-08,Belarus,Scotland,Scotland,49.0
1997-06-08,Bulgaria,Luxembourg,Bulgaria,43.0
1997-06-08,Bulgaria,Luxembourg,Bulgaria,50.0
1997-06-08,Estonia,Sweden,Sweden,53.0
1997-06-08,Guinea,Burkina Faso,Guinea,9.0
1997-06-08,Spain,Czech Republic,Spain,41.0
1997-06-08,Togo,Zimbabwe,Zimbabwe,65.0
1997-06-11,Australia,Solomon Islands,Australia,88.0
1997-06-14,Poland,Georgia,Poland,74.0
1997-06-16,Colombia,Costa Rica,Colombia,62.0
1997-06-17,Argentina,Paraguay,Paraguay,73.0
1997-06-17,Argentina,Paraguay,Argentina,90.0
1997-06-17,Australia,Solomon Islands,Australia,75.0
1997-06-19,Mexico,Costa Rica,Mexico,14.0
1997-06-21,Peru,Argentina,Argentina,66.0
1997-06-22,Ecuador,Mexico,Ecuador,6.0
1997-07-05,Chile,Colombia,Chile,90.0
1997-07-06,Paraguay,Argentina,Paraguay,59.0
1997-07-09,Lithuania,Estonia,Lithuania,69.0
1997-07-20,Chile,Paraguay,Chile,9.0
1997-08-16,Morocco,Gabon,Morocco,45.0
1997-08-17,Egypt,Liberia,Egypt,21.0
1997-08-20,Colombia,Bolivia,Colombia,30.0
1997-09-06,Armenia,Albania,Armenia,87.0
1997-09-06,Latvia,Estonia,Latvia,87.0
1997-09-06,Netherlands,Belgium,Belgium,67.0
1997-09-07,Japan,Uzbekistan,Japan,4.0
1997-09-07,Japan,Uzbekistan,Uzbekistan,69.0
1997-09-07,Scotland,Belarus,Belarus,73.0
1997-09-13,China,Iran,China,44.0
1997-09-13,China,Iran,Iran,61.0
1997-10-03,United States,Jamaica,United States,50.0
1997-10-05,Mexico,El Salvador,Mexico,38.0
1997-10-11,Austria,Belarus,Austria,16.0
1997-10-11,Belgium,Wales,Belgium,4.0
1997-10-11,Belgium,Wales,Wales,53.0
1997-10-11,Switzerland,Azerbaijan,Switzerland,69.0
1997-10-18,Uzbekistan,Korea Republic,Uzbekistan,61.0
1997-11-15,Serbia,Hungary,Serbia,45.0
1997-11-16,Costa Rica,Canada,Costa Rica,89.0
1997-11-16,United States,El Salvador,El Salvador,62.0
1997-12-12,Mexico,Australia,Mexico,80.0
1997-12-16,Brazil,Mexico,Brazil,41.0
1997-12-21,Brazil,Australia,Brazil,75.0
1998-02-01,United States,Cuba,United States,76.0
1998-02-04,Cuba,Costa Rica,Costa Rica,29.0
1998-02-09,DR Congo,Togo,DR Congo,57.0
1998-02-09,DR Congo,Togo,DR Congo,73.0
1998-02-11,Burkina Faso,Algeria,Burkina Faso,65.0
1998-02-11,Burkina Faso,Algeria,Algeria,82.0
1998-02-11,South Africa,Ivory Coast,South Africa,8.0
1998-02-12,Angola,Namibia,Angola,67.0
1998-02-12,Ghana,Togo,Ghana,83.0
1998-02-16,Ivory Coast,Angola,Ivory Coast,81.0
1998-02-16,Tunisia,Togo,Togo,4.0
1998-02-21,Burkina Faso,Tunisia,Burkina Faso,45.0
1998-06-04,Estonia,Faroe Islands,Estonia,40.0
1998-06-10,Brazil,Scotland,Scotland,38.0
1998-06-11,Italy,Chile,Italy,84.0
1998-06-20,Belgium,Mexico,Mexico,55.0
1998-06-21,Argentina,Jamaica,Argentina,83.0
1998-06-23,Brazil,Norway,Norway,89.0
1998-06-23,Italy,Austria,Austria,90.0
1998-06-24,France,Denmark,France,12.0
1998-06-24,France,Denmark,Denmark,42.0
1998-06-24,South Africa,Saudi Arabia,Saudi Arabia,45.0
1998-06-24,South Africa,Saudi Arabia,Saudi Arabia,74.0
1998-06-24,South Africa,Saudi Arabia,South Africa,90.0
1998-06-24,Spain,Bulgaria,Spain,6.0
1998-06-26,Romania,Tunisia,Tunisia,12.0
1998-06-27,Brazil,Chile,Brazil,45.0
1998-06-30,Argentina,England,Argentina,5.0
1998-06-30,Argentina,England,England,9.0
1998-06-30,Romania,Croatia,Croatia,45.0
1998-09-05,Armenia,Andorra,Andorra,85.0
1998-09-05,Austria,Israel,Israel,68.0
1998-09-05,Bosnia and Herzegovina,Estonia,Bosnia and Herzegovina,74.0
1998-09-05,Republic of Ireland,Croatia,Republic of Ireland,4.0
1998-09-05,Slovakia,Azerbaijan,Slovakia,26.0
1998-09-05,Ukraine,Russia,Ukraine,74.0
1998-09-06,Greece,Slovenia,Greece,55.0
1998-09-28,Australia,Cook Islands,Australia,76.0
1998-10-10,Azerbaijan,Hungary,Hungary,85.0
1998-10-10,Malta,Croatia,Malta,29.0
1998-10-14,Luxembourg,England,England,38.0
1998-10-14,San Marino,Austria,San Marino,81.0
1998-10-14,Scotland,Faroe Islands,Faroe Islands,85.0
1999-03-27,Armenia,Russia,Russia,63.0
1999-03-27,Czech Republic,Lithuania,Czech Republic,74.0
1999-03-27,Hungary,Liechtenstein,Hungary,86.0
1999-03-27,Spain,Austria,Spain,35.0
1999-03-31,Italy,Belarus,Italy,31.0
1999-03-31,Liechtenstein,Portugal,Portugal,16.0
