2000	02	03	TN	CG	1	0	AR	NG	12	1636	1411	+2	−3	49	102
2000	02	04	CY	AM	3	2	FT		6	1525	1387	+1	−2	71	112
2000	02	04	FI	DK	2	1	NRD	ES	26	1585	1845	+5	0	59	17
2000	02	04	GE	RO	1	1	FT	CY	12	1519	1895	+3	−1	73	15
2000	02	04	IS	FO	3	2	NRD	ES	3	1586	1180	+1	0	57	160
2000	02	04	KW	IR	1	1	F		0	1649	1757	0	0	46	24
2000	02	04	MD	LT	2	1	FT	CY	17	1427	1449	+6	−5	98	91
2000	02	04	NO	SE	1	1	NRD	ES	0	1916	1907	0	0	10	14
2000	02	05	GT	CL	2	1	F		13	1539	1722	+2	−6	68	36
2000	02	05	MX	JP	1	0	CBG	HK	4	1915	1604	+1	0	11	55
2000	02	06	AL	AD	3	0	FT	MT	5	1443	1029	+1	−1	92	184
2000	02	06	CM	DZ	2	1	AR	GH	21	1607	1502	+2	−4	55	76
2000	02	06	KY	JM	0	0	F		8	1125	1592	0	−1	166	57
2000	02	06	CY	RO	3	2	FT		25	1550	1870	+5	−1	66	16
2000	02	06	GE	AM	2	1	FT	CY	10	1529	1377	+3	−1	70	113
2000	02	06	GH	ZA	0	1	AR		-23	1525	1695	−6	+3	72	40
2000	02	06	LT	LV	2	1	FT	CY	16	1465	1450	+5	−5	86	91
2000	02	06	MT	AZ	3	0	FT		25	1267	1303	+6	−5	141	129
2000	02	07	NG	SN	2	1	AR		8	1736	1525	+2	−2	30	71
2000	02	07	SG	MY	3	1	F		8	1307	1213	+2	−2	129	151
2000	02	07	TN	EG	1	0	AR	NG	28	1664	1649	+5	−4	44	46
2000	02	08	AL	AZ	1	0	FT	MT	9	1452	1294	+1	−2	91	132
2000	02	08	CZ	MX	2	1	CBG	HK	14	1958	1901	+1	−3	4	14
2000	02	08	MT	AD	1	1	FT		-11	1256	1040	−2	+1	143	183
2000	02	08	SY	KP	5	1	F		14	1474	1454	+6	−3	82	88
2000	02	09	BG	SK	1	0	CVP	CL	16	1677	1661	+3	−3	42	45
2000	02	09	KY	JM	0	1	F		-2	1123	1594	0	0	166	57
2000	02	09	CL	AU	2	1	CVP		12	1734	1735	+4	−5	32	30
2000	02	09	HN	SV	5	1	F		5	1626	1382	0	0	52	112
2000	02	10	AD	AZ	0	0	FT	MT	9	1049	1285	0	−3	183	135
2000	02	10	CM	TN	3	0	AR	GH	51	1658	1613	+9	−10	46	54
2000	02	10	HK	SG	0	0	F		0	1195	1307	0	0	155	129
2000	02	10	KW	TM	6	1	SQ		11	1660	1419	+1	−3	45	100
